,bsd,date,endtime,id,name,starttime,street,town,url,zipcode,address,geocodestatus_try1,geocodestatus_try2,lat,long
0,ns,2016-09-11,14:00,1764,Heinrich-Behnken-Schule,10:30,Schulstraße 13,Selsingen,"terminerinnerung.php?event_id=1764&&
              bsd=ns&&
              date=2016-09-11&&
              start=10:30&&
              end=14:00&&
              name1=Heinrich-Behnken-Schule&&
              name2=&&
              street=Schulstra%DFe+13&&
              plz=27446&&
              town=Selsingen&&
              tort=558",27446,"Schulstraße 13, 27446 Selsingen",1,0,53.3741003,9.2101647
1,ns,2016-09-11,17:00,1326,Messe Halle 5 Stand G70,10:00,Bürgerweide,Bremen,"terminerinnerung.php?event_id=1326&&
              bsd=ns&&
              date=2016-09-11&&
              start=10:00&&
              end=17:00&&
              name1=Messe+Halle+5+Stand+G70&&
              name2=&&
              street=B%FCrgerweide&&
              plz=28215&&
              town=Bremen&&
              tort=1339",28215,"Bürgerweide, 28215 Bremen",1,0,53.0865387,8.81443174517
2,ns,2016-09-11,15:00,1149,Grundschule 'Auf den Heuen',11:00,An der Fuchtelkuhle 15,Bremen,"terminerinnerung.php?event_id=1149&&
              bsd=ns&&
              date=2016-09-11&&
              start=11:00&&
              end=15:00&&
              name1=Grundschule+%27Auf+den+Heuen%27&&
              name2=&&
              street=An+der+Fuchtelkuhle+15&&
              plz=28239&&
              town=Bremen&&
              tort=547",28239,"An der Fuchtelkuhle 15, 28239 Bremen",1,0,53.1346146,8.72923615
3,ns,2016-09-11,15:00,1197,Kaiserpfalz,11:00,Kaiserbleek 6,Goslar,"terminerinnerung.php?event_id=1197&&
              bsd=ns&&
              date=2016-09-11&&
              start=11:00&&
              end=15:00&&
              name1=Kaiserpfalz&&
              name2=&&
              street=Kaiserbleek+6&&
              plz=38640&&
              town=Goslar&&
              tort=8430",38640,"Kaiserbleek 6, 38640 Goslar",1,0,51.9035089,10.4285769
4,west,2016-09-11,15:00,3233,DRK-Haus,11:00,Beurhausstr. 71,Dortmund,"terminerinnerung.php?event_id=3233&&
              bsd=west&&
              date=2016-09-11&&
              start=11:00&&
              end=15:00&&
              name1=DRK-Haus&&
              name2=&&
              street=Beurhausstr.+71&&
              plz=44137&&
              town=Dortmund&&
              tort=05144",44137,"Beurhausstr. 71, 44137 Dortmund",1,0,51.5091687,7.45269281236
5,west,2016-09-11,14:00,4024,Kath. Kirchengemeinde,10:00,Terwellenweg 13,Haltern am See,"terminerinnerung.php?event_id=4024&&
              bsd=west&&
              date=2016-09-11&&
              start=10:00&&
              end=14:00&&
              name1=Kath.+Kirchengemeinde&&
              name2=&&
              street=Terwellenweg+13&&
              plz=45721&&
              town=Haltern+am+See&&
              tort=hahu ",45721,"Terwellenweg 13, 45721 Haltern am See",1,0,51.7371621,7.29075227075
6,west,2016-09-11,18:00,4023,McDonald`s Restaurant,13:00,Adenauerallee 126 a,Gelsenkirchen,"terminerinnerung.php?event_id=4023&&
              bsd=west&&
              date=2016-09-11&&
              start=13:00&&
              end=18:00&&
              name1=McDonald%60s+Restaurant&&
              name2=&&
              street=Adenauerallee+126+a&&
              plz=45891&&
              town=Gelsenkirchen&&
              tort=gemd ",45891,"Adenauerallee 126 a, 45891 Gelsenkirchen",1,0,51.5517291,7.0766076452
7,west,2016-09-11,14:30,4025,DJK Sporthalle,11:00,Am Hagelkreuz 1,Bocholt,"terminerinnerung.php?event_id=4025&&
              bsd=west&&
              date=2016-09-11&&
              start=11:00&&
              end=14:30&&
              name1=DJK+Sporthalle&&
              name2=&&
              street=Am+Hagelkreuz+1&&
              plz=46395&&
              town=Bocholt&&
              tort=LIEF ",46395,"Am Hagelkreuz 1, 46395 Bocholt",1,0,51.83334395,6.5383155994
8,west,2016-09-11,12:30,2256,Gem.-Grundschule,09:00,Am Hellenkamp,"Heinsberg , Rheinl","terminerinnerung.php?event_id=2256&&
              bsd=west&&
              date=2016-09-11&&
              start=09:00&&
              end=12:30&&
              name1=Gem.-Grundschule&&
              name2=&&
              street=Am+Hellenkamp&&
              plz=52525&&
              town=Heinsberg+%2C+Rheinl&&
              tort=51407",52525,"Am Hellenkamp, 52525 Heinsberg , Rheinl",1,0,51.0214804,6.1718651
9,west,2016-09-11,13:00,3234,"Gemeindehaus ""Maria Frieden""",10:30,Friedenstr. 2,Lippstadt,"terminerinnerung.php?event_id=3234&&
              bsd=west&&
              date=2016-09-11&&
              start=10:30&&
              end=13:00&&
              name1=Gemeindehaus+%22Maria+Frieden%22&&
              name2=&&
              street=Friedenstr.+2&&
              plz=59558&&
              town=Lippstadt&&
              tort=10019",59558,"Friedenstr. 2, 59558 Lippstadt",1,0,51.7063814,8.3623542
10,west,2016-09-11,15:00,3232,DRK-Heim,11:00,Rathausplatz 5,Sundern (Sauerland),"terminerinnerung.php?event_id=3232&&
              bsd=west&&
              date=2016-09-11&&
              start=11:00&&
              end=15:00&&
              name1=DRK-Heim&&
              name2=&&
              street=Rathausplatz+5&&
              plz=59846&&
              town=Sundern+%28Sauerland%29&&
              tort=01029",59846,"Rathausplatz 5, 59846 Sundern (Sauerland)",1,0,51.295494,7.9876447
11,ost,2016-09-12,19:00,7828,INSTITUT DRESDEN,06:30,Blasewitzer Str. 68/70,Dresden,"terminerinnerung.php?event_id=7828&&
              bsd=ost&&
              date=2016-09-12&&
              start=06:30&&
              end=19:00&&
              name1=INSTITUT+DRESDEN&&
              name2=&&
              street=Blasewitzer+Str.+68%2F70&&
              plz=01307&&
              town=Dresden&&
              tort=8019X",01307,"Blasewitzer Str. 68/70, 01307 Dresden",1,0,51.0529522,13.7800831
