,bsd,street,town,url,zipcode,name,address,renum_monetary,renum_other,notes,geocodestatus,lat,long
0,haema,Poststr. 19,Bonn,https://www.haema.de/blutspendezentren/nordrhein-westfalen/bonn.html,53111,Haema Blutspendezentrum Bonn,"Poststr. 19, 53111 Bonn",,,,1,50.7335994,7.0978812
1,haema,Ostenhellweg 50,Dortmund,https://www.haema.de/blutspendezentren/nordrhein-westfalen/dortmund.html,44135,Haema Blutspendezentrum Dortmund,"Ostenhellweg 50, 44135 Dortmund",,,,1,51.5145216,7.47146226983
2,haema,Kettwiger Str. 64,Essen,https://www.haema.de/blutspendezentren/nordrhein-westfalen/essen.html,45127,Haema Blutspendezentrum Essen,"Kettwiger Str. 64, 45127 Essen",,,,1,51.4576535,7.0128425
3,haema,Westring 2,Hamm,https://www.haema.de/blutspendezentren/nordrhein-westfalen/hamm/,59065,Haema Blutspendezentrum Hamm,"Westring 2, 59065 Hamm",,,,1,51.6807144,7.8132484
4,haema,Dachauer Str. 70,Munich,https://www.haema.de/blutspendezentren/bayern/muenchen.html,80335,Haema Blutspendezentrum München,"Dachauer Str. 70, 80335 Munich",,,,1,48.1491258,11.5588156
5,haema,Hildegard-von-Bingen-Str. 1,Regensburg,https://www.haema.de/blutspendezentren/bayern/regensburg.html,93053,Haema Blutspendezentrum Regensburg,"Hildegard-von-Bingen-Str. 1, 93053 Regensburg",,,,1,49.0059043,12.1193626
6,haema,Oststr. 51,Gotha,https://www.haema.de/blutspendezentren/thueringen/gotha/,99867,Haema Blutspendezentrum Gotha,"Oststr. 51, 99867 Gotha",,,,1,50.9531466,10.7139725
7,haema,Lachsgasse 3,Erfurt,https://www.haema.de/blutspendezentren/thueringen/erfurt.html,99084,Haema Blutspendezentrum Erfurt,"Lachsgasse 3, 99084 Erfurt",,,,1,50.9737008,11.0325981
8,haema,Breitscheidstr. 1,Gera,https://www.haema.de/blutspendezentren/thueringen/gera/?nomob=1,7545,Haema Blutspendezentrum Gera,"Breitscheidstr. 1, 07545 Gera",,,,1,50.8768085,12.0797538
9,haema,Goethestr. 3a,Jena,https://www.haema.de/blutspendezentren/thueringen/jena/,7743,Haema Blutspendezentrum Jena,"Goethestr. 3a, 07743 Jena",,,,1,50.9274075,11.5823877
10,haema,Steubenstr. 15,Weimar,https://www.haema.de/blutspendezentren/thueringen/weimar.html?nomob=1,99423,Haema Blutspendezentrum Weimar,"Steubenstr. 15, 99423 Weimar",,,,1,50.97736765,11.3251801307
11,haema,Sandstr. 1,Lübeck,https://www.haema.de/blutspendezentren/schleswig-holstein/luebeck.html,23552,Haema Blutspendezentrum Lübeck,"Sandstr. 1, 23552 Lübeck",,,,1,53.8653982,10.6863445
12,haema,Neustädter Passage 17 A,Halle (Saale),https://www.haema.de/blutspendezentren/sachsen-anhalt/hallesaale.html?nomob=1,6122,Haema Blutspendezentrum Halle (Saale),"Neustädter Passage 17 A, 06122 Halle (Saale)",,,,1,51.480749,11.9246378
13,haema,Markt 5,Chemnitz,https://www.haema.de/blutspendezentren/sachsen/chemnitz.html,9111,Haema Blutspendezentrum Chemnitz,"Markt 5, 09111 Chemnitz",,,,1,50.8319067,12.9190993
14,haema,Rosenstr. 30,Dresden,https://www.haema.de/blutspendezentren/sachsen/dresden-world-trade-center.html,1067,Haema Blutspendezentrum Dresden-World Trade Center,"Rosenstr. 30, 01067 Dresden",,,,1,51.0480137,13.7239784
15,haema,Fetscherplatz 2a,Dresden,https://www.haema.de/blutspendezentren/sachsen/dresden-fetscherplatz.html?nomob=1,1307,Haema Blutspendezentrum Dresden-Fetscherplatz,"Fetscherplatz 2a, 01307 Dresden",,,,1,51.0465316,13.7705913
16,haema,Bahnhofstr. 40,Freiberg,https://www.haema.de/blutspendezentren/sachsen/freiberg/,9599,Haema Blutspendezentrum Freiberg,"Bahnhofstr. 40, 09599 Freiberg",,,,1,50.9115131,13.3448523
